longtitude,latitude
-117.16299371,32.821538156
-117.162855117,32.821551002
-117.16270463,32.821563611
-117.162546041,32.821579112
-117.162380714,32.821592446
-117.162211547,32.821601514
-117.162037865,32.821606262
-117.161863213,32.821607631
-117.161691618,32.821608142
-117.161525903,32.821608789
-117.161371612,32.821610338
-117.161231354,32.821610995
-117.161107629,32.821611598
-117.161004722,32.821611928
-117.160923728,32.821611967
-117.160861839,32.821611872
-117.160817,32.821611784
-117.160785431,32.821611857
-117.160759263,32.82161169
-117.160735057,32.821611364
-117.160707083,32.821611393
-117.160664838,32.821611829
-117.160605682,32.82161217
-117.160532666,32.821612031
-117.160447754,32.821611849
-117.160354005,32.821612206
-117.160252426,32.821612871
-117.160144104,32.821613803
-117.160030756,32.821614894
-117.159918224,32.821616253
-117.159806613,32.821617235
-117.159697329,32.821617768
-117.159591958,32.82161762
-117.15948868,32.821616635
-117.15938737,32.821615516
-117.159285729,32.82161453
-117.159180648,32.821615897
-117.159074946,32.821618079
-117.158972065,32.821620195
-117.158874717,32.821622076
-117.158789096,32.821621294
-117.15872194,32.821608513
-117.158678231,32.821579786
-117.158659168,32.82154063
-117.15865188,32.821492774
-117.158646178,32.821436559
-117.158635651,32.821381459
-117.158607702,32.821339066
-117.158561665,32.821319035
-117.158513792,32.821317694
-117.158469169,32.821323124
-117.158428643,32.821326701
-117.158393499,32.821325754
-117.158365667,32.821319764
-117.158345699,32.821307701
-117.158333386,32.821295328
-117.158325233,32.821283435
-117.158317459,32.821273651
-117.158312259,32.821266719
-117.158310424,32.821265073
-117.158310869,32.821265545
-117.158311271,32.821266116
